裂变类型,用户总数,转化用户数,转化率,客单价_代理,总收入,总成本_5%,ROI_5%,总成本_10%,ROI_10%,总成本_15%,ROI_15%,总成本_20%,ROI_20%,总成本_25%,ROI_25%
助力砍价,21307,3894,0.18275684047496127,280.58150487930146,1092584.38,54629.219,18.999999999999996,109258.438,9.0,163887.65699999998,5.666666666666667,218516.876,4.0,273146.095,3.0
拼团狂买,21387,3238,0.151400383410483,280.1214576899321,907033.28,45351.664000000004,19.0,90703.32800000001,9.0,136054.992,5.666666666666667,181406.65600000002,4.0,226758.32,2.9999999999999996
无裂变页面,21306,2262,0.10616727682343002,288.4754818744474,652531.5399999999,32626.576999999997,18.999999999999996,65253.153999999995,9.0,97879.73099999999,5.666666666666666,130506.30799999999,4.0,163132.88499999998,3.0
